id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km,diametre_moyen_km,distance_lunaire
2226514,226514 (2003 UX34),True,0.2469192656,0.5521282628,59576.3798861135,18491516.10423837,0.3995237642,48.10488060415809
2438017,438017 (2003 YO3),False,0.5206609142,1.1642331974,54996.3055018069,12136326.303555183,0.8424470558,31.572128781361037
2481442,481442 (2006 WO3),False,0.1283970296,0.2871044863,77935.954023887,58239736.59965244,0.20775075795,151.5081597285443
3485806,(2010 AL60),False,0.0925880583,0.2070331923,32361.4464638662,9414482.23419549,0.1498106253,24.491368975534574
3723888,(2015 NU2),True,0.1748054532,0.3908768761,68881.0703726326,73466998.51753892,0.28284116465,191.12122403105857
3771633,(2017 FZ2),False,0.0127219879,0.0284472297,27485.3820705561,43675472.56004904,0.0205846088,113.61985577536171
3792462,(2017 YD),False,0.0211132445,0.0472106499,17691.4977576082,10536583.499046208,0.0341619472,27.410466959017192
3837883,(2019 AO12),False,0.0201629919,0.0450858206,87401.5535619302,72072116.41250834,0.03262440625,187.4924984716658
3842657,(2019 KJ4),False,0.0088014652,0.0196806745,34290.1468082932,49392413.8942228,0.01424106985,128.49223177477316
54340445,(2023 BO8),False,0.0123752784,0.0276719637,53853.5529937037,44602775.42223265,0.02002362105,116.03219412651573
54509167,(2024 YH4),False,0.0825191939,0.1845185269,81111.4811692906,13072072.230165008,0.1335188604,34.00643140001303
54509629,(2024 YZ4),False,0.1198270801,0.2679414966,99517.3868228753,19239009.47746017,0.19388428835,50.04945233470387
54512615,(2024 YZ9),False,0.0245784775,0.0549591464,30744.1100218168,3623223.789841424,0.039768811949999996,9.425660223312757
54513036,(2024 YW12),False,0.0506471459,0.1132504611,49077.7685452444,14880072.12939393,0.0819488035,38.7098650608583
54516186,(2025 BM),False,0.0589596608,0.1318378096,38029.8503488187,14064893.080212332,0.0953987352,36.589211967253725
3704144,(2015 AC246),False,0.0555334912,0.1241766613,21823.557432531,52820770.79549223,0.08985507625,137.41095420263326
3781585,(2017 SK2),False,0.0608912622,0.1361570015,19273.0559039038,66024505.62198272,0.09852413185,171.75990016124538
3785681,(2017 TU1),False,0.0152951935,0.0342010925,53321.9785063697,67762561.05205293,0.024748143,176.281376306069
3843671,(2019 QY4),False,0.0080270317,0.0179489885,65537.9276345136,52117749.5629085,0.012988010099999999,135.58207482546436
3989263,(2020 BP11),False,0.0116025908,0.0259441818,56764.4031185162,35406461.06684568,0.0187733863,92.1083794662999
54269715,(2022 GE3),False,0.06259721,0.1399716167,28658.5459814199,24683064.190800205,0.10128441334999999,64.2119255744022
54293876,(2020 AQ24),False,0.0268259417,0.0599846292,71526.2723131313,48896961.18728298,0.04340528545,127.20333295338965
54503221,(2024 XR4),False,0.065246163,0.1458948557,26087.5439547047,23945440.73152889,0.10557050935,62.29302999877443
54509100,(2024 YW3),False,0.0256185754,0.0572848762,44134.7811412716,2156544.131876664,0.0414517258,5.610156430480395
54514247,(2024 YY21),False,0.0112345318,0.0251211767,18817.9782385518,5560416.813516596,0.01817785425,14.465184218305401
54516849,(2025 BC2),False,0.0333084924,0.0744800533,61572.185102889,4950988.227064801,0.05389427285,12.879782068326747
3740934,(2016 BD15),True,0.1529519353,0.3420109247,93383.3700688104,71450808.49855644,0.24748143,185.87619276419468
3753595,(2016 KO),False,0.0133215567,0.0297879063,55311.8444706586,63031190.87562886,0.0215547315,163.972921112458
3989144,(2020 BC6),True,0.1797028549,0.4018277992,79858.6540488112,3683381.686023033,0.29076532705,9.582158392359608
54016969,(2020 JR),False,0.0253837029,0.0567596853,61716.286232802,47817840.01879432,0.0410716941,124.39604583453257
54091635,(2020 WR1),False,0.0342416731,0.0765667087,82488.4967996921,71002234.961983,0.0554041909,184.70924808008064
54186208,(2021 PB23),False,0.0203495578,0.0455029946,27835.9338165981,72030480.99156058,0.0329262762,187.38418572206186
54509098,(2024 YT3),False,0.0133830462,0.029925401,25448.8592654784,4148544.30991822,0.0216542236,10.792258870754996
54515312,(2025 AG3),False,0.0057883526,0.0129431498,26840.819298518,2096621.912179453,0.0093657512,5.454271363630211
54514251,(2025 AJ1),False,0.0523064176,0.1169607054,40638.657120354,23538786.747137707,0.08463356150000001,61.235137219400904
54514895,(2025 AY1),False,0.0614546821,0.1374168468,60183.924792174,13787514.424296966,0.09943576444999999,35.867623372260574
54517641,(2025 BQ5),False,0.0308003021,0.0688715693,32864.4629265629,6758138.904065095,0.0498359357,17.581006514217208
3879137,(2019 TK6),False,0.0788052183,0.1762138252,37661.9172929179,40607718.03326146,0.12750952175,105.63922485239715
54054327,(2020 RV6),False,0.0291443905,0.0651688382,48479.6772715723,58565088.34539876,0.04715661435,152.35454824505402
54105109,(2021 AO4),False,0.0078805218,0.0176213825,54418.6532916137,2640732.672717599,0.012750952150000001,6.8697520101914655
54209222,(2021 TK13),False,0.022108281,0.0494356193,15135.089387895,21922839.486390542,0.035771950149999995,57.03132020392961
54415867,(2023 XU7),False,0.0277047973,0.06194981,51508.4016463614,49287093.762428805,0.04482730365,128.21824600007494
54508752,(2024 YU1),False,0.0239086457,0.0534613571,26317.184843843,2248832.194823476,0.0386850014,5.8502398408519145
54511083,(2024 YL7),False,0.0222103282,0.0496638037,26145.9920869276,4873440.221766533,0.03593706595,12.678044281390566
54513046,(2024 YG13),False,0.0104846751,0.0234444462,42471.3738642178,740234.749931319,0.016964560650000002,1.925688735513317
54512613,(2024 YX9),False,0.011286388,0.0252371308,40341.0525631866,2195623.733054634,0.0182617594,5.71182032532423
54514253,(2025 AL1),False,0.0840533402,0.1879489824,63542.4505270618,12979369.048088731,0.1360011613,33.76526807515279
54514899,(2025 AC2),False,0.0228325794,0.0510551996,22791.6311893346,3601259.905366959,0.0369438895,9.368522126344846
54514896,(2025 AZ1),False,0.0084831076,0.0189688053,49953.1063505555,2609350.809457923,0.01372595645,6.788113448121547
54516261,(2025 BS),False,0.0497227313,0.1111834072,53408.6626595839,11861258.111943033,0.08045306925000001,30.85655075947719
3553148,(2010 XB11),False,0.3065878759,0.6855513317,68182.206577871,19016653.471642926,0.4960696038,49.471002787832795
3645041,(2013 NC15),False,0.0992098919,0.2218400624,43417.7895268897,25616443.389347907,0.16052497715,66.6400712522058
3647191,(2013 RT9),False,0.0133215567,0.0297879063,16233.9842106775,36530806.76349979,0.0215547315,95.03331624219508
3837864,(2019 AS11),False,0.0116025908,0.0259441818,42708.3804730289,48375536.34533886,0.0187733863,125.84686874437789
3843735,(2019 QL7),False,0.0124324001,0.0277996916,30891.5107520968,58599408.62498077,0.02011604585,152.44383097029336
