id,nom,est_dangereux,url_nasa
54543828,(2025 RE),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543828
54545418,(2025 RE4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545418
54546139,(2025 SR1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546139
54547362,(2025 SJ6),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547362
54602274,(2025 OB342),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54602274
3261681,(2004 VJ1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3261681
3756945,(2016 PB8),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3756945
3761354,(2016 UR5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3761354
3781451,(2017 RK15),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781451
3878570,(2019 TZ1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3878570
54016641,(2020 HW2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016641
54016678,(2020 HY3),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016678
54055062,(2020 TS1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54055062
54190303,(2021 QV1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54190303
54192187,(2021 RN1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54192187
54217960,(2021 VU5),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54217960
54248644,(2022 DL4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54248644
54350901,(2023 FM2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54350901
54539966,(2025 PG1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539966
54539806,(2025 PX),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539806
54540033,(2025 PL1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54540033
54541721,(2025 QY4),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541721
54542339,(2025 QT8),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542339
54542327,(2025 QT7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542327
54542331,(2025 QY7),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542331
54543396,(2025 QC18),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543396
54543548,(2025 QM23),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543548
3014109,(1998 SH2),True,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3014109
3837805,(2019 AU9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837805
3838137,(2019 CB2),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838137
3843107,(2019 NC1),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843107
54245567,(2022 BH9),False,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54245567
